date (UTC),# commits,# commits by owner
2022-03-07,1,0
2022-03-14,3,0
2022-03-21,6,0
2022-03-28,7,0
2022-04-04,8,0
2022-04-11,2,0
2022-04-18,2,0
2022-04-25,2,0
2022-05-02,4,0
2022-05-09,0,0
2022-05-16,1,0
2022-05-23,3,0
2022-05-30,6,0
2022-06-06,2,0
2022-06-13,6,0
2022-06-20,9,0
2022-06-27,6,0
2022-07-04,21,0
2022-07-11,2,0
2022-07-18,1,0
2022-07-25,7,0
2022-08-01,4,0
2022-08-08,4,0
2022-08-15,0,0
2022-08-22,5,0
2022-08-29,2,0
2022-09-05,7,0
2022-09-12,0,0
2022-09-19,0,0
2022-09-26,10,0
2022-10-03,8,0
2022-10-10,3,0
2022-10-17,3,0
2022-10-24,10,0
2022-10-31,4,0
2022-11-07,6,0
2022-11-14,7,0
2022-11-21,7,0
2022-11-28,11,0
2022-12-05,5,0
2022-12-12,2,0
2022-12-19,12,0
2022-12-26,4,0
2023-01-02,3,0
2023-01-09,6,0
2023-01-16,0,0
2023-01-23,0,0
2023-01-30,0,0
2023-02-06,0,0
2023-02-13,0,0
2023-02-20,0,0
2023-02-27,0,0
