date (UTC),# open pr,# close pr,# open issue,# close issue
2022-04-28,1,1,1,0
2022-04-29,1,1,0,0
2022-04-30,1,0,0,0
2022-05-02,1,0,0,0
2022-05-03,1,2,0,0
2022-05-05,0,0,1,0
2022-05-06,2,1,0,0
2022-05-09,0,0,1,0
2022-05-11,1,2,0,0
2022-05-12,2,2,0,0
2022-05-13,4,2,1,2
2022-05-16,0,1,0,0
2022-05-17,2,0,0,0
2022-05-18,2,5,0,0
2022-05-19,1,0,1,0
2022-05-20,0,1,0,0
2022-05-26,1,0,0,0
2022-05-27,1,0,0,0
2022-05-31,2,2,0,0
2022-06-01,1,2,0,0
2022-06-02,2,1,2,0
2022-06-03,5,6,0,0
2022-06-04,0,1,1,0
2022-06-05,0,0,0,1
2022-06-06,1,0,0,1
2022-06-07,2,3,0,0
2022-06-08,2,2,0,0
2022-06-09,1,0,0,0
2022-06-10,3,2,1,0
2022-06-12,1,1,1,1
2022-06-14,1,1,0,0
2022-06-15,1,1,0,0
2022-06-16,0,1,0,0
2022-06-17,3,4,1,0
2022-06-18,1,1,0,0
2022-06-20,1,2,0,0
2022-06-21,0,0,1,0
2022-06-22,0,0,1,0
2022-06-23,1,0,0,0
2022-06-24,0,1,1,0
2022-06-25,0,0,1,0
2022-06-26,0,0,1,0
2022-06-27,0,0,2,0
2022-06-28,2,2,1,4
2022-06-30,1,0,0,0
2022-07-01,0,1,0,0
2022-07-05,0,0,1,0
2022-07-06,2,0,1,0
2022-07-07,3,2,0,1
2022-07-08,0,0,1,0
2022-07-09,0,1,0,0
2022-07-11,7,7,3,2
2022-07-13,1,1,0,1
2022-07-14,2,2,0,1
2022-07-15,2,3,0,1
2022-07-19,0,0,1,0
2022-07-20,1,0,2,1
2022-07-22,0,0,1,0
2022-07-25,0,1,0,0
2022-07-27,2,1,1,0
2022-07-28,2,1,1,0
2022-07-29,3,3,0,0
2022-07-30,2,2,0,0
2022-08-01,2,1,1,0
2022-08-02,0,2,0,2
2022-08-03,0,0,1,1
2022-08-05,6,6,0,0
2022-08-07,2,2,1,1
2022-08-08,1,2,1,0
2022-08-09,0,0,0,2
2022-08-10,1,1,0,2
2022-08-14,0,0,1,0
2022-08-15,0,0,1,0
2022-08-16,3,1,0,0
2022-08-17,1,0,0,0
2022-08-26,1,0,0,0
2022-08-27,3,4,0,0
2022-08-28,1,1,0,0
2022-08-29,1,0,2,0
